c_resid,unit,nace_r2,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
TOTAL,NR,I551-I553,ME	: 	: 	: 	3170519 	9151236 	: 	: 	11054947 	11250005 	3890370 b	: 	: 
TOTAL,NR,I551-I553,MK	1354266 	1313992 	1266095 	1435015 	1459771 	1499076 	1519013 	1640003 	1695084 	1975211 	2211589 	2294883 
TOTAL,NR,I551-I553,MT	7917563 	6903106 	7560834 	7681557 	7832229 	8501147 	8780948 	8915297 	8971191 	9580329 	10114196 	9911282 
TOTAL,NR,I551-I553,NL	84452200 	84516100 	84873200 	85368400 	84050408 	96074132 b	99751562 	103534302 	106212858 	111697814 	116081577 	123442571 
TOTAL,NR,I551-I553,NO	28567627 	28002088 	28518836 	29074313 	29914832 	29310429 	30614057 	31591222 	32974578 	: 	: 	: 
TOTAL,NR,I551-I553,PL	56645518 	55020067 	55794467 	57148253 	62014890 	62959452 	66579589 	71234421 	79393860 	83880915 	88860463 	93342738 
TOTAL,NR,I551-I553,PT	47328837 	44364742 	45035005 	46857858 	46781091 	49888259 	54979437 	59419938 	66014226 	72035786 	74407596 	77594254 
TOTAL,NR,I551-I553,RO	20725981 	17325410 	16051135 	17979439 	19091379 	19301768 	20230245 	23445286 	25274649 	26915573 	28461153 	29889894 
TOTAL,NR,I551-I553,RS	: 	: 	: 	: 	6359685 	6368597 	5954322 	6619439 	7502498 	: 	: 	: 
TOTAL,NR,I551-I553,SE	46540868 	47390976 	47900298 	48422673 	48585972 	49710427 	52280371 	55611847 	57234148 	58683201 	60856874 	63175281 
TOTAL,NR,I551-I553,SI	8870148 	8556122 	8424741 	8860328 	9406009 	9471571 	9470452 	10224207 	11057731 	12460084 	: 	15758691 
TOTAL,NR,I551-I553,SK	12259115 	10252657 	10240479 	10415637 	10770328 	11345641 	10781015 	12176275 	13894782 	14667937 	15188140 	17225333 
TOTAL,NR,I551-I553,TR	: 	: 	: 	: 	: 	122685184 	130029917 	133881306 	112545487 	: 	: 	: 
TOTAL,NR,I551-I553,UK	251505661 	262204519 	234263131 	230590553 	303564528 	: 	: 	465438028 	476356101 	: 	: 	: 
